,LineId,Date,Timestamp,EventCode,MessageType,Action,Delim,Content,EventId,EventTemplate,Key_0,Val_0,Key_1,Val_1,Key_2,Val_2,Key_3,Val_3
388,389,2019-08-23,22:47:21.286,9,INFO,armada.handlers.test,[-],[chart=ucp-deckhand]: PASSED: airship-ucp-deckhand[00m,f61088b1,<*> PASSED airship-ucp-deckhand[00m,Not Present,chart=ucp-deckhand, PASSED airship-ucp-deckhand,None,NotPresent,None,NotPresent,None
389,390,2019-08-23,22:47:21.286,9,INFO,armada.handlers.armada,[-],All Charts applied in ChartGroup ucp-deckhand.[00m,eb9b2d5b,All Charts applied in ChartGroup <*>,All Charts applied in ChartGroup ,ucp-deckhand.,Not Present,None,NotPresent,None,NotPresent,None
390,391,2019-08-23,22:47:21.287,9,INFO,armada.handlers.armada,[-],"Processing ChartGroup: ucp-drydock (Drydock), sequenced=False[00m",ae375d91,Processing ChartGroup <*> <*> sequenced False[00m,Processing ChartGroup ,"ucp-drydock (Drydock),",Not Present,None, sequenced False,None,NotPresent,None
391,392,2019-08-23,22:47:21.287,9,INFO,armada.handlers.chart_deploy,[-],"[chart=ucp-maas]: Processing Chart, release=airship-maas[00m",6e4ad121,<*> Processing Chart release <*>,Not Present,chart=ucp-maas, Processing Chart release ,airship-maas,Not Present,None,NotPresent,None
392,393,2019-08-23,22:47:21.288,9,INFO,armada.handlers.chart_deploy,[-],"[chart=ucp-maas]: known: [], release_name: airship-maas[00m",0d86aef4,<*> known <*> release_name airship-maas[00m,Not Present,chart=ucp-maas, known ,"[],", release_name airship-maas,None,NotPresent,None
393,394,2019-08-23,22:47:21.288,9,INFO,armada.handlers.chart_deploy,[-],"[chart=ucp-drydock]: Processing Chart, release=airship-drydock[00m",6e4ad121,<*> Processing Chart release <*>,Not Present,chart=ucp-drydock, Processing Chart release ,airship-drydock,Not Present,None,NotPresent,None
394,395,2019-08-23,22:47:21.288,9,INFO,armada.handlers.chartbuilder,[-],[chart=ucp-maas]: Building dependency chart maas-htk for release maas.[00m,df5752f2,<*> Building dependency chart <*> for release <*>,Not Present,chart=ucp-maas, Building dependency chart ,maas-htk, for release ,maas.,Not Present,None
395,396,2019-08-23,22:47:21.288,9,INFO,armada.handlers.chart_deploy,[-],"[chart=ucp-drydock]: known: [], release_name: airship-drydock[00m",dd9a038f,<*> known <*> release_name airship-drydock[00m,Not Present,chart=ucp-drydock, known ,"[],", release_name airship-drydock,None,NotPresent,None
396,397,2019-08-23,22:47:21.289,9,INFO,armada.handlers.chartbuilder,[-],[chart=ucp-drydock]: Building dependency chart drydock-htk for release drydock.[00m,df5752f2,<*> Building dependency chart <*> for release <*>,Not Present,chart=ucp-drydock, Building dependency chart ,drydock-htk, for release ,drydock.,Not Present,None
397,398,2019-08-23,22:47:21.316,9,INFO,armada.handlers.chart_deploy,[-],"[chart=ucp-drydock]: Installing release airship-drydock in namespace ucp, wait=True, timeout=600s[00m",f33ff38c,<*> Installing release <*> in namespace <*> wait True timeout <*>,Not Present,chart=ucp-drydock, Installing release ,airship-drydock, in namespace ,"ucp,", wait True timeout ,600s
398,399,2019-08-23,22:47:21.323,9,INFO,armada.handlers.tiller,[-],"[chart=ucp-drydock]: Helm install release: wait=True, timeout=600[00m",25462a05,<*> Helm install release wait <*> timeout <*>,Not Present,chart=ucp-drydock, Helm install release wait ,"True,", timeout ,600,Not Present,None
399,400,2019-08-23,22:47:21.325,9,INFO,armada.handlers.chart_deploy,[-],"[chart=ucp-maas]: Installing release airship-maas in namespace ucp, wait=True, timeout=1800s[00m",f33ff38c,<*> Installing release <*> in namespace <*> wait True timeout <*>,Not Present,chart=ucp-maas, Installing release ,airship-maas, in namespace ,"ucp,", wait True timeout ,1800s
400,401,2019-08-23,22:47:21.333,9,INFO,armada.handlers.tiller,[-],"[chart=ucp-maas]: Helm install release: wait=True, timeout=1800[00m",25462a05,<*> Helm install release wait <*> timeout <*>,Not Present,chart=ucp-maas, Helm install release wait ,"True,", timeout ,1800,Not Present,None
401,402,2019-08-23,22:50:16.720,9,INFO,armada.handlers.chart_deploy,[-],"[chart=ucp-drydock]: Install completed with results from Tiller: {'namespace': 'ucp', 'release': 'airship-drydock', 'description': 'Install complete', 'version': 1, 'status': 'DEPLOYED'}[00m",fcf3f0a6,<*> Install completed with results from Tiller {'namespace' <*> 'release' <*> 'description' 'Install complete' 'version' 1 'status' 'DEPLOYED'}[00m,Not Present,chart=ucp-drydock, Install completed with results from Tiller {'namespace' ,"'ucp',", 'release' ,"'airship-drydock',", 'description' 'Install complete' 'version' 1 'status' 'DEPLOYED'},None
402,403,2019-08-23,22:50:16.720,9,INFO,armada.handlers.wait,[-],"[chart=ucp-drydock]: Waiting for resource type=job, namespace=ucp labels=release_group=airship-drydock required=False for 425s[00m",8d85a441,<*> Waiting for resource type job namespace <*> labels release_group <*> required False for <*>,Not Present,chart=ucp-drydock, Waiting for resource type job namespace ,ucp, labels release_group ,airship-drydock, required False for ,425s
403,404,2019-08-23,22:50:16.734,9,INFO,armada.handlers.wait,[-],"[chart=ucp-drydock]: Waiting for resource type=pod, namespace=ucp labels=release_group=airship-drydock required=True for 425s[00m",4984b27b,<*> Waiting for resource type pod namespace <*> labels release_group <*> required True for <*>,Not Present,chart=ucp-drydock, Waiting for resource type pod namespace ,ucp, labels release_group ,airship-drydock, required True for ,425s
404,405,2019-08-23,22:50:21.959,9,INFO,armada.handlers.test,[-],[chart=ucp-drydock]: RUNNING: airship-drydock tests with timeout=300s[00m,099b2701,<*> RUNNING <*> tests with timeout 300s[00m,Not Present,chart=ucp-drydock, RUNNING ,airship-drydock, tests with timeout 300s,None,NotPresent,None
405,406,2019-08-23,22:50:21.979,9,INFO,armada.handlers.tiller,[-],"[chart=ucp-drydock]: Running Helm test: release=airship-drydock, timeout=300[00m",f26d9761,<*> Running Helm test release <*> timeout 300[00m,Not Present,chart=ucp-drydock, Running Helm test release ,"airship-drydock,", timeout 300,None,NotPresent,None
406,407,2019-08-23,22:50:21.994,9,INFO,armada.handlers.tiller,[-],[chart=ucp-drydock]: RUNNING: airship-drydock-auth-test[00m,e1a4582a,<*> RUNNING airship-drydock-auth-test[00m,Not Present,chart=ucp-drydock, RUNNING airship-drydock-auth-test,None,NotPresent,None,NotPresent,None
407,408,2019-08-23,22:50:24.411,9,INFO,armada.handlers.tiller,[-],[chart=ucp-drydock]: PASSED: airship-drydock-auth-test[00m,63f7cd12,<*> PASSED airship-drydock-auth-test[00m,Not Present,chart=ucp-drydock, PASSED airship-drydock-auth-test,None,NotPresent,None,NotPresent,None
408,409,2019-08-23,22:50:24.411,9,INFO,armada.handlers.tiller,[-],[chart=ucp-drydock]: RUNNING: airship-drydock-api-test[00m,9d97b191,<*> RUNNING airship-drydock-api-test[00m,Not Present,chart=ucp-drydock, RUNNING airship-drydock-api-test,None,NotPresent,None,NotPresent,None
409,410,2019-08-23,22:50:27.012,9,INFO,armada.handlers.tiller,[-],[chart=ucp-drydock]: PASSED: airship-drydock-api-test[00m,c5ed8222,<*> PASSED airship-drydock-api-test[00m,Not Present,chart=ucp-drydock, PASSED airship-drydock-api-test,None,NotPresent,None,NotPresent,None
410,411,2019-08-23,22:50:27.187,9,INFO,armada.handlers.test,[-],[chart=ucp-drydock]: PASSED: airship-drydock[00m,747dde80,<*> PASSED airship-drydock[00m,Not Present,chart=ucp-drydock, PASSED airship-drydock,None,NotPresent,None,NotPresent,None
411,412,2019-08-23,22:56:11.628,9,INFO,armada.handlers.chart_deploy,[-],"[chart=ucp-maas]: Install completed with results from Tiller: {'namespace': 'ucp', 'release': 'airship-maas', 'description': 'Install complete', 'version': 1, 'status': 'DEPLOYED'}[00m",fcf3f0a6,<*> Install completed with results from Tiller {'namespace' <*> 'release' <*> 'description' 'Install complete' 'version' 1 'status' 'DEPLOYED'}[00m,Not Present,chart=ucp-maas, Install completed with results from Tiller {'namespace' ,"'ucp',", 'release' ,"'airship-maas',", 'description' 'Install complete' 'version' 1 'status' 'DEPLOYED'},None
412,413,2019-08-23,22:56:11.628,9,INFO,armada.handlers.wait,[-],"[chart=ucp-maas]: Waiting for resource type=job, namespace=ucp labels=release_group=airship-maas required=False for 1270s[00m",8d85a441,<*> Waiting for resource type job namespace <*> labels release_group <*> required False for <*>,Not Present,chart=ucp-maas, Waiting for resource type job namespace ,ucp, labels release_group ,airship-maas, required False for ,1270s
413,414,2019-08-23,22:56:11.639,9,INFO,armada.handlers.wait,[-],"[chart=ucp-maas]: Waiting for resource type=pod, namespace=ucp labels=release_group=airship-maas required=True for 1270s[00m",4984b27b,<*> Waiting for resource type pod namespace <*> labels release_group <*> required True for <*>,Not Present,chart=ucp-maas, Waiting for resource type pod namespace ,ucp, labels release_group ,airship-maas, required True for ,1270s
414,415,2019-08-23,22:56:11.661,9,INFO,armada.handlers.test,[-],[chart=ucp-maas]: RUNNING: airship-maas tests with timeout=300s[00m,099b2701,<*> RUNNING <*> tests with timeout 300s[00m,Not Present,chart=ucp-maas, RUNNING ,airship-maas, tests with timeout 300s,None,NotPresent,None
415,416,2019-08-23,22:56:11.685,9,INFO,armada.handlers.tiller,[-],"[chart=ucp-maas]: Running Helm test: release=airship-maas, timeout=300[00m",f26d9761,<*> Running Helm test release <*> timeout 300[00m,Not Present,chart=ucp-maas, Running Helm test release ,"airship-maas,", timeout 300,None,NotPresent,None
416,417,2019-08-23,22:56:11.699,9,INFO,armada.handlers.tiller,[-],[chart=ucp-maas]: RUNNING: airship-maas-api-test[00m,47d598b7,<*> RUNNING airship-maas-api-test[00m,Not Present,chart=ucp-maas, RUNNING airship-maas-api-test,None,NotPresent,None,NotPresent,None
417,418,2019-08-23,22:56:20.044,9,INFO,armada.handlers.tiller,[-],[chart=ucp-maas]: PASSED: airship-maas-api-test[00m,247e9cee,<*> PASSED airship-maas-api-test[00m,Not Present,chart=ucp-maas, PASSED airship-maas-api-test,None,NotPresent,None,NotPresent,None
418,419,2019-08-23,22:56:20.236,9,INFO,armada.handlers.test,[-],[chart=ucp-maas]: PASSED: airship-maas[00m,0e5f40db,<*> PASSED airship-maas[00m,Not Present,chart=ucp-maas, PASSED airship-maas,None,NotPresent,None,NotPresent,None
419,420,2019-08-23,22:56:20.237,9,INFO,armada.handlers.armada,[-],All Charts applied in ChartGroup ucp-drydock.[00m,eb9b2d5b,All Charts applied in ChartGroup <*>,All Charts applied in ChartGroup ,ucp-drydock.,Not Present,None,NotPresent,None,NotPresent,None
420,421,2019-08-23,22:56:20.237,9,INFO,armada.handlers.armada,[-],"Processing ChartGroup: ucp-promenade (Promenade), sequenced=False[00m",ae375d91,Processing ChartGroup <*> <*> sequenced False[00m,Processing ChartGroup ,"ucp-promenade (Promenade),",Not Present,None, sequenced False,None,NotPresent,None
421,422,2019-08-23,22:56:20.237,9,INFO,armada.handlers.chart_deploy,[-],"[chart=ucp-promenade]: Processing Chart, release=airship-ucp-promenade[00m",6e4ad121,<*> Processing Chart release <*>,Not Present,chart=ucp-promenade, Processing Chart release ,airship-ucp-promenade,Not Present,None,NotPresent,None
